지역,시기,연도,월,온열질환자수,기초생활수급자수,지역생산,녹지면적,하천면적,노인인구수,비만인구수,장애인수,성별_남,성별_여,재정자립도,인구밀도,응급의료기관당수용인원,인구수,기온,습도
강원강릉시,Jun-14,2014,6,1,6971,4374447,897643,3752055,353.060252,806,13027,107149,108658,17.4,207.43,53951.75,215807,23.10333353,89.5625
강원강릉시,Jul-14,2014,7,6,6984,4374447,897643,3752055,353.088064,806,13029,107149,108658,17.4,207.43,53956,215824,28.92903219,82.35483871
강원강릉시,Aug-14,2014,8,0,6970,4374447,897643,3752055,352.919556,806,13032,107149,108658,17.4,207.43,53930.25,215721,25.54838713,87.4137931
강원강릉시,Jun-15,2015,6,2,6872,4740366,631663,3752055,363.930588,804,13026,106545,108015,17.4,206.23,53772.25,215089,26.26250006,83.625
강원강릉시,Jul-15,2015,7,8,6973,4740366,631663,3752055,363.705552,804,13032,106545,108015,17.4,206.23,71652,214956,23.75161281,92.96774194
강원강릉시,Aug-15,2015,8,9,7278,4740366,631663,3752055,363.512664,804,13006,106545,108015,17.4,206.23,53710.5,214842,28.30344838,92.65517241
강원강릉시,Jun-16,2016,6,2,8912,5019567,631663,3752055,372.234412,840,12987,106231,107615,17.1,205.55,53543.5,214174,25.77499997,93.34375
강원강릉시,Jul-16,2016,7,3,8952,5019567,631663,3752055,372.16663,840,13002,106231,107615,17.1,205.55,53533.75,214135,25.16774194,95.16129032
강원강릉시,Aug-16,2016,8,5,8963,5019567,631663,3752055,372.02759,840,13016,106231,107615,17.1,205.55,53513.75,214055,28.94482728,92.82758621
강원강릉시,Jun-17,2017,6,1,8619,5295106,631663,6955761,386.273355,865,13134,106286,107666,18.7,205.68,53441.25,213765,25.12500003,90.71875
강원강릉시,Jul-17,2017,7,10,8607,5295106,631663,6955761,386.177584,865,13155,106286,107666,18.7,205.68,71237.33333,213712,27.42580655,89.64516129
강원강릉시,Aug-17,2017,8,3,8587,5295106,631663,6955761,386.080006,865,13181,106286,107666,18.7,205.68,71219.33333,213658,25.3758619,94.86206897
강원강릉시,Jun-18,2018,6,2,8483,5326931,628073,6961234,403.188177,875,13313,105697,107260,18.2,204.63,70996.33333,212989,24.971875,89.375
강원강릉시,Jul-18,2018,7,21,8470,5326931,628073,6961234,402.879618,875,13341,105697,107260,18.2,204.63,70942,212826,28.61935468,83.70967742
강원강릉시,Aug-18,2018,8,6,8512,5326931,628073,6961234,402.692211,875,13355,105697,107260,18.2,204.63,70909,212727,28.09310348,92.72413793
강원강릉시,Jun-19,2019,6,1,10187,5679304,628073,6961234,420.971118,870,13413,105893,107549,17.4,205.08,71122,213366,25.85312481,87.40625
강원강릉시,Jul-19,2019,7,3,10285,5679304,628073,6961234,420.935604,870,13442,105893,107549,17.4,205.08,71116,213348,25.47419348,91.4516129
강원강릉시,Aug-19,2019,8,0,10315,5679304,628073,6961234,420.909955,870,13450,105893,107549,17.4,205.08,71111.66667,213335,28.17931034,88.37931034
강원강릉시,Jun-20,2020,6,3,11398,5679304,585475,6961234,440.839273,880,13487,105794,107527,17.8,204.96,70954.33333,212863,26.95000013,89.5
강원강릉시,Jul-20,2020,7,0,11478,5679304,585475,6961234,441.077438,880,13510,105794,107527,17.8,204.96,70992.66667,212978,24.13225794,92.64516129
강원강릉시,Aug-20,2020,8,5,11496,5679304,585475,6961234,440.988385,880,13514,105794,107527,17.8,204.96,70978.33333,212935,28.30000021,94.06896552
강원강릉시,Jun-21,2021,6,1,12216,5792890,585475,6961234,462.8052,879,13516,105667,107298,15.5,204.63,70928,212784,26.31250019,91.53125
강원강릉시,Jul-21,2021,7,4,12241,5792890,585475,6961234,463.181475,879,13532,105667,107298,15.5,204.63,70985.66667,212957,25.77096768,95.09677419
강원강릉시,Aug-21,2021,8,4,12249,5792890,585475,6961234,463.329375,879,13537,105667,107298,15.5,204.63,53256.25,213025,26.32758628,94.20689655
강원고성군,Jun-14,2014,6,0,1280,846914,9412,7568559,68.256595,785,2307,16107,14162,8,45.57,0,30269,22.60000007,91.71875
강원고성군,Jul-14,2014,7,0,1284,846914,9412,7568559,67.823635,785,2294,16107,14162,8,45.57,0,30077,28.94516116,90.61290323
강원고성군,Aug-14,2014,8,0,1274,846914,9412,7568559,67.629705,785,2295,16107,14162,8,45.57,0,29991,25.90967745,94.10344828
강원고성군,Jun-15,2015,6,0,1194,900623,9412,7568559,69.332196,809,2278,15981,14079,7.8,45.25,0,30066,25.275,90.625
강원고성군,Jul-15,2015,7,0,1229,900623,9412,7568559,68.884832,809,2273,15981,14079,7.8,45.25,0,29872,22.96774203,96.48387097
강원고성군,Aug-15,2015,8,0,1298,900623,9412,7568559,68.532014,809,2273,15981,14079,7.8,45.25,0,29719,27.41379307,92.75862069
강원고성군,Jun-16,2016,6,0,1441,942735,9412,7568559,69.221636,805,2286,15899,14215,9.2,45.33,0,29381,24.44062516,93.59375
강원고성군,Jul-16,2016,7,0,1426,942735,9412,7568559,68.986036,805,2289,15899,14215,9.2,45.33,0,29281,23.56451603,94.5483871
강원고성군,Aug-16,2016,8,0,1415,942735,9412,7568559,68.415884,805,2289,15899,14215,9.2,45.33,0,29039,27.69655166,94.06896552
강원고성군,Jun-17,2017,6,0,1346,984633,2720,7568559,70.368645,744,2342,15817,14212,9.1,45.21,0,29235,25.46562494,92.71875
강원고성군,Jul-17,2017,7,0,1342,984633,9412,7568559,70.06777,744,2332,15817,14212,9.1,45.21,0,29110,27.45806481,90.38709677
강원고성군,Aug-17,2017,8,0,1327,984633,9412,7568559,69.829477,744,2327,15817,14212,9.1,45.21,0,29011,25.32068969,95.51724138
강원고성군,Jun-18,2018,6,0,1247,1051002,9412,7568559,72.49086,725,2313,14729,13415,8.9,42.38,0,28596,25.34375041,91.65625
강원고성군,Jul-18,2018,7,0,1231,1051002,9412,7568559,72.168915,725,2313,14729,13415,8.9,42.38,0,28469,28.65161303,93.41935484
강원고성군,Aug-18,2018,8,0,1227,1051002,9412,7568559,71.8926,725,2313,14729,13415,8.9,42.38,0,28360,28.58275879,96.89655172
강원고성군,Jun-19,2019,6,0,1390,1212094,9647,7590786,75.112204,783,2294,14114,13146,9.4,41.04,0,27554,25.95000003,93.875
강원고성군,Jul-19,2019,7,0,1397,1212094,9647,7590786,74.850508,783,2299,14114,13146,9.4,41.04,0,27458,25.65806445,95.96774194
강원고성군,Aug-19,2019,8,1,1415,1212094,9647,7590786,74.686948,783,2306,14114,13146,9.4,41.04,0,27398,28.32413797,95.13793103
강원고성군,Jun-20,2020,6,1,1427,1212094,13209,7590786,77.808084,833,2288,13802,12955,8.6,40.5,0,26886,26.73437506,93.84375
강원고성군,Jul-20,2020,7,0,1427,1212094,13209,7590786,77.753098,833,2284,13802,12955,8.6,40.5,0,26867,24.11290323,95.16129032
강원고성군,Aug-20,2020,8,0,1434,1212094,13209,7590786,77.724158,833,2284,13802,12955,8.6,40.5,0,26857,29.00344814,96.82758621
강원고성군,Jun-21,2021,6,0,1541,1236336,13061,7590786,80.772,811,2267,14019,13230,8.1,41.24,0,26924,26.78750003,94.25
강원고성군,Jul-21,2021,7,1,1542,1236336,13061,7590786,80.88,811,2264,14019,13230,8.1,41.24,0,26960,26.05806455,97
강원고성군,Aug-21,2021,8,0,1546,1236336,13061,7590786,81.015,811,2268,14019,13230,8.1,41.24,0,27005,27.21724148,96.62068966
강원동해시,Jun-14,2014,6,0,3206,2759986,956036,1956055,141.181066,846,6771,47850,46712,19.5,524.77,47281,94562,22.91999987,91.46875
강원동해시,Jul-14,2014,7,0,3214,2759986,956036,1956055,141.145234,846,6770,47850,46712,19.5,524.77,47269,94538,28.08387077,84.03225806
강원동해시,Aug-14,2014,8,0,3246,2759986,956036,1956055,141.20794,846,6758,47850,46712,19.5,524.77,47290,94580,25.55806445,88.48275862
강원동해시,Jun-15,2015,6,0,3114,2798341,956036,1954852,145.787233,829,6710,47503,46392,19.5,521.07,47058.5,94117,25.665625,84.875
강원동해시,Jul-15,2015,7,2,3190,2798341,956036,1954852,145.813566,829,6696,47503,46392,19.5,521.07,47067,94134,23.37741916,92.64516129
강원동해시,Aug-15,2015,8,2,3373,2798341,956036,1954852,145.717528,829,6689,47503,46392,19.5,521.07,47036,94072,27.96551738,91.75862069
강원동해시,Jun-16,2016,6,2,3725,2733073,980029,1954852,148.914668,811,6656,47166,46131,19.5,517.71,93422,93422,24.93749978,90.90625
강원동해시,Jul-16,2016,7,2,3700,2733073,980029,1954852,148.956112,811,6669,47166,46131,19.5,517.71,93448,93448,24.74838723,92.90322581
강원동해시,Aug-16,2016,8,4,3697,2733073,980029,1954852,149.011902,811,6666,47166,46131,19.5,517.71,93483,93483,28.39655176,87.68965517
강원동해시,Jun-17,2017,6,0,3565,3047017,980214,1954852,153.724824,864,6736,47067,45784,20.2,515.24,46414.5,92829,25.53125009,89.125
강원동해시,Jul-17,2017,7,3,3573,3047017,980214,1954852,153.754632,864,6720,47067,45784,20.2,515.24,46423.5,92847,27.02258084,87.16129032
강원동해시,Aug-17,2017,8,0,3564,3047017,980214,1954852,153.716544,864,6725,47067,45784,20.2,515.24,46412,92824,26.01034466,92.75862069
강원동해시,Jun-18,2018,6,1,3490,3161368,675067,2136873,160.5065,790,6760,46212,45060,19.6,506.48,45859,91718,24.50000019,88.0625
강원동해시,Jul-18,2018,7,7,3473,3161368,675067,2136873,160.38925,790,6758,46212,45060,19.6,506.48,45825.5,91651,27.67741926,84.25806452
강원동해시,Aug-18,2018,8,1,3474,3161368,675067,2136873,160.223,790,6757,46212,45060,19.6,506.48,45778,91556,27.61724162,94.17241379
강원동해시,Jun-19,2019,6,1,4163,3269666,675067,2136873,167.81898,867,6756,45845,44677,18.6,502.34,45307.5,90615,24.190625,89.875
강원동해시,Jul-19,2019,7,3,4173,3269666,675067,2136873,167.806016,867,6762,45845,44677,18.6,502.34,45304,90608,24.16774194,92.32258065
강원동해시,Aug-19,2019,8,3,4177,3269666,675067,2136873,167.674524,867,6763,45845,44677,18.6,502.34,45268.5,90537,27.25517248,89.72413793
강원동해시,Jun-20,2020,6,0,4646,3269666,613011,2136873,176.928024,884,6749,45991,44602,16.7,502.72,45227,90454,25.41875016,90.96875
강원동해시,Jul-20,2020,7,0,4701,3269666,613011,2136873,176.980836,884,6763,45991,44602,16.7,502.72,45240.5,90481,22.63870955,93.96774194
강원동해시,Aug-20,2020,8,4,4735,3269666,613011,2136873,177.111888,884,6744,45991,44602,16.7,502.72,45274,90548,26.92413803,95.51724138
강원동해시,Jun-21,2021,6,0,5352,3335059,613011,2136873,185.307941,885,6778,45795,44286,17.3,499.6,44999.5,89999,25.38750003,93.6875
강원동해시,Jul-21,2021,7,2,5315,3335059,613011,2136873,185.390301,885,6795,45795,44286,17.3,499.6,45019.5,90039,25.45161287,97.03225806
강원동해시,Aug-21,2021,8,2,5368,3335059,613011,2136873,185.425304,885,6787,45795,44286,17.3,499.6,45028,90056,26.5137929,96.75862069
강원삼척시,Jun-14,2014,6,2,3494,2696261,306614,13531130,139.56602,828,5620,36940,35374,17.3,60.95,72314,72314,23.04000013,98.96875
강원삼척시,Jul-14,2014,7,1,3461,2696261,306614,13531130,140.99615,828,5619,36940,35374,17.3,60.95,73055,73055,28.49032229,90.77419355
강원삼척시,Aug-14,2014,8,0,3442,2696261,306614,13531130,140.55997,828,5613,36940,35374,17.3,60.95,72829,72829,25.3354839,95.31034483
강원삼척시,Jun-15,2015,6,0,3239,2668720,306614,13531130,143.271128,811,5522,36000,34839,15,59.67,71564,71564,26.03749988,88.1875
강원삼척시,Jul-15,2015,7,3,3236,2668720,306614,13531130,142.99285,811,5513,36000,34839,15,59.67,71425,71425,23.6806449,95.93548387
강원삼척시,Aug-15,2015,8,5,3324,2668720,306614,13531130,142.808666,811,5495,36000,34839,15,59.67,71333,71333,28.3896551,92.06896552
강원삼척시,Jun-16,2016,6,0,3419,2337032,306614,13531130,144.59934,801,5486,35253,34346,15.8,58.63,69990,69990,25.509375,89.5625
